"ATYA_ID","Title","Repository","PrimaryContractOwner","DownstreamRepositories","ChildMigrationRequirement","ChildMigrationTasks","Priority","Phase","Type","Status","Evidence_Status","Confidence","Risk","Effort","Dependencies","AdvisoryPrerequisites","Related_Tasks","Issue_File","Origin","Implementation_State"
"ATYA-001","ATYA-001 — Inventory repositories and establish the machine-readable ecosystem manifest","Atya.Roadmap","","","","","P0","0 — Authoritative inventory and evidence","Implementation","Ready","Verified problem (policy copies demonstrably disagree across the two reviews' own citations: CLI 1.2.0 vs constitution 1.5.1; drift regex vs SHA rule)","High","High","L","","","ATYA-002;ATYA-003;ATYA-004","github/issues/ATYA-001-inventory-repositories-and-establish-the-machine-readable-ecosystem-ma.md","GPT 5.6 SOL (S-0001)","Partially satisfied"
"ATYA-002","ATYA-002 — Phase-0 verification batch for contested findings","Atya.Roadmap","","","","","P0","0 — Authoritative inventory and evidence","Verification","Ready","Private maintainer evidence; public summary only","High","High","M","","","ATYA-001;ATYA-003;ATYA-004","github/issues/ATYA-002-phase-0-verification-batch-for-contested-findings.md","Private organization audit and approved roadmap","Partially satisfied"
"ATYA-003","ATYA-003 — Repair the release graph: tree parity, tag ancestry, MinVer provenance","Atya.Roadmap","","","","","P0","0 — Authoritative inventory and evidence","Verification","Blocked","Verified release-lineage discrepancies; repair and temporal-parity policy remain","High","Critical","M","ATYA-002","","ATYA-001;ATYA-002;ATYA-004","github/issues/ATYA-003-repair-the-release-graph-tree-parity-tag-ancestry-minver-provenance.md","Merged (F-0001 + S-0003)","Partially satisfied"
"ATYA-004","ATYA-004 — Reconcile the constitution with the live portfolio and roadmap","Atya.Roadmap","","","","","P1","0 — Authoritative inventory and evidence","Implementation","Blocked","Strongly supported (Rule J caveat: both models read the same private constitution)","High","High","L","ATYA-001","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-004-reconcile-the-constitution-with-the-live-portfolio-and-roadmap.md","Merged (F-0034 + S-0002)","No audit-driven completion claim"
"ATYA-005","ATYA-005 — Publish a framework-target and support policy by package archetype","Atya.Roadmap","","","","","P1","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Reasonable inference (net10.0-only as implicit SDK default; single-source)","High","High","M","ATYA-001;ATYA-004","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-005-publish-a-framework-target-and-support-policy-by-package-archetype.md","GPT 5.6 SOL (S-0014)","No audit-driven completion claim"
"ATYA-006","ATYA-006 — Decide the strategic Time model (TimeProvider vs IClock)","Atya.Roadmap","","","","","P1","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Strongly supported","High","High","M","ATYA-005","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-006-decide-the-strategic-time-model-timeprovider-vs-iclock.md","Merged (F-0016 + S-0028)","No audit-driven completion claim"
"ATYA-007","ATYA-007 — Resolve IResult and narrow Foundation.Abstractions","Atya.Roadmap","","","","","P1","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Strongly supported","High","High","M","ATYA-004","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-007-resolve-iresult-and-narrow-foundation-abstractions.md","Merged (F-0012 + S-0023)","No audit-driven completion claim"
"ATYA-008","ATYA-008 — Canonicalize Result/Error/paging; retire the orphan Primitives system","Atya.Roadmap","","","","","P1","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Strongly supported","High","High","M","ATYA-003;ATYA-007;ATYA-042","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-008-canonicalize-result-error-paging-retire-the-orphan-primitives-system.md","Merged (F-0011 + S-0024 + S-0026 (paging half))","No audit-driven completion claim"
"ATYA-009","ATYA-009 — Define the framework-neutral versioned HTTP error/validation wire contract","Atya.Roadmap","","","","","P1","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Reasonable inference (single-source design need; the incompatible-shapes evidence is SP-level but the decision's value is independent)","High","High","M","ATYA-008","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-009-define-the-framework-neutral-versioned-http-error-validation-wire-cont.md","GPT 5.6 SOL (S-0033)","No audit-driven completion claim"
"ATYA-010","ATYA-010 — Ratify the test-platform direction (MTP vs VSTest)","Atya.Roadmap","","","","","P3","1 — Source-of-truth policy and architecture decisions","ADR","Ready","Reasonable inference (Fable's concrete fork description; GPT corroborates ""implicit test stack"")","High","Low","M","","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-010-ratify-the-test-platform-direction-mtp-vs-vstest.md","Fable (F-0044)","No audit-driven completion claim"
"ATYA-011","ATYA-011 — Decide the FluentAssertions 7.x end-of-life strategy","Atya.Roadmap","","","","","P3","1 — Source-of-truth policy and architecture decisions","ADR","Ready","Reasonable inference (single-source; the <8 ceiling itself is Strongly supported via S-0010's note)","High","Low","M","","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-011-decide-the-fluentassertions-7-x-end-of-life-strategy.md","Fable (F-0043)","No audit-driven completion claim"
"ATYA-012","ATYA-012 — Decide OpenTelemetry package decomposition from adopter evidence","Atya.Roadmap","","","","","P2","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Strongly supported (dependency weight); the decision framing is GPT's","High","Medium","M","ATYA-066;ATYA-067;ATYA-032","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-012-decide-opentelemetry-package-decomposition-from-adopter-evidence.md","GPT 5.6 SOL (S-0058)","No audit-driven completion claim"
"ATYA-013","ATYA-013 — Repository-topology ADR (repo-per-package vs grouped repos)","Atya.Roadmap","","","","","P3","1 — Source-of-truth policy and architecture decisions","ADR","Blocked","Verified gap (neither source addresses it; the ×36 overhead is arithmetic)","Medium","Low","M","ATYA-026;ATYA-035","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-013-repository-topology-adr-repo-per-package-vs-grouped-repos.md","New finding (BM-03)","No audit-driven completion claim"
"ATYA-014","ATYA-014 — Redact Result-based 5xx ProblemDetails by default","ProblemDetails","","","","","P0","2 — Security, compatibility, and release blockers","Implementation","Blocked","Private maintainer evidence; public summary only","High","Critical","M","ATYA-002","","ATYA-015;ATYA-016;ATYA-017","github/issues/ATYA-014-redact-result-based-5xx-problemdetails-by-default.md","Private organization audit and approved roadmap","No audit-driven completion claim"
"ATYA-015","ATYA-015 — Make health responses minimal and safe by default","HealthChecks","","","","","P0","2 — Security, compatibility, and release blockers","Implementation","Blocked","Private maintainer evidence; public summary only","High","Critical","M","ATYA-002","","ATYA-014;ATYA-016;ATYA-017","github/issues/ATYA-015-make-health-responses-minimal-and-safe-by-default.md","Private organization audit and approved roadmap","No audit-driven completion claim"
"ATYA-016","ATYA-016 — Split the publisher trust boundary and bind PackageId→repository","publisher","","","","","P0","2 — Security, compatibility, and release blockers","Implementation","Blocked","Private maintainer evidence; public summary only","High","Critical","M","ATYA-001","","ATYA-014;ATYA-015;ATYA-017","github/issues/ATYA-016-split-the-publisher-trust-boundary-and-bind-packageid-repository.md","Private organization audit and approved roadmap","Partially satisfied"
"ATYA-017","ATYA-017 — Remove the NuGet template's second publishing path","Atya.Templates.NuGetPackage","","","","","P0","2 — Security, compatibility, and release blockers","Migration","Blocked","Private maintainer evidence; public summary only","High","Critical","L","ATYA-002","","ATYA-014;ATYA-015;ATYA-016","github/issues/ATYA-017-remove-the-nuget-template-s-second-publishing-path.md","Private organization audit and approved roadmap","No audit-driven completion claim"
"ATYA-018","ATYA-018 — Make release artifacts atomic, complete, and attested before push","publisher","publisher","github-workflows","none-tightly-coupled","","P0","2 — Security, compatibility, and release blockers","Implementation","Blocked","Private maintainer evidence; public summary only","High","Critical","M","ATYA-016","","ATYA-014;ATYA-015;ATYA-016","github/issues/ATYA-018-make-release-artifacts-atomic-complete-and-attested-before-push.md","Private organization audit and approved roadmap","Partially satisfied"
